age,educ,black,hisp,married,nodegr,re74,re75,re78,u74,u75,treat
37,11,1,0,1,1,0,0,9930.05,1,1,1
22,9,0,1,0,1,0,0,3595.89,1,1,1
30,12,1,0,0,0,0,0,24909.5,1,1,1
27,11,1,0,0,1,0,0,7506.15,1,1,1
33,8,1,0,0,1,0,0,289.79,1,1,1
22,9,1,0,0,1,0,0,4056.49,1,1,1
23,12,1,0,0,0,0,0,0,1,1,1
32,11,1,0,0,1,0,0,8472.16,1,1,1
22,16,1,0,0,0,0,0,2164.02,1,1,1
33,12,0,0,1,0,0,0,12418.1,1,1,1
19,9,1,0,0,1,0,0,8173.91,1,1,1
21,13,1,0,0,0,0,0,17094.6,1,1,1
18,8,1,0,0,1,0,0,0,1,1,1
27,10,1,0,1,1,0,0,18739.9,1,1,1
17,7,1,0,0,1,0,0,3023.88,1,1,1
19,10,1,0,0,1,0,0,3228.5,1,1,1
27,13,1,0,0,0,0,0,14581.9,1,1,1
23,10,1,0,0,1,0,0,7693.4,1,1,1
40,12,1,0,0,0,0,0,10804.3,1,1,1
26,12,1,0,0,0,0,0,10747.4,1,1,1
23,11,1,0,0,1,0,0,0,1,1,1
41,14,0,0,0,0,0,0,5149.5,1,1,1
38,9,0,0,0,1,0,0,6408.95,1,1,1
24,11,1,0,0,1,0,0,1991.4,1,1,1
18,10,1,0,0,1,0,0,11163.2,1,1,1
29,11,1,0,1,1,0,0,9643,1,1,1
25,11,1,0,0,1,0,0,9897.05,1,1,1
27,10,0,1,0,1,0,0,11142.9,1,1,1
17,10,1,0,0,1,0,0,16218,1,1,1
24,11,1,0,0,1,0,0,995.7,1,1,1
17,10,1,0,0,1,0,0,0,1,1,1
48,4,1,0,0,1,0,0,6551.59,1,1,1
25,11,1,0,1,1,0,0,1574.42,1,1,1
20,12,1,0,0,0,0,0,0,1,1,1
25,12,1,0,0,0,0,0,3191.75,1,1,1
42,14,1,0,0,0,0,0,20505.9,1,1,1
25,5,1,0,0,1,0,0,6181.88,1,1,1
23,12,1,0,1,0,0,0,5911.55,1,1,1
46,8,1,0,1,1,0,0,3094.16,1,1,1
24,10,1,0,0,1,0,0,0,1,1,1
21,12,1,0,0,0,0,0,1254.58,1,1,1
19,9,0,0,0,1,0,0,13188.8,1,1,1
17,8,1,0,0,1,0,0,8061.49,1,1,1
18,8,0,1,1,1,0,0,2787.96,1,1,1
20,11,1,0,0,1,0,0,3972.54,1,1,1
25,11,1,0,1,1,0,0,0,1,1,1
17,8,1,0,0,1,0,0,0,1,1,1
17,9,1,0,0,1,0,0,0,1,1,1
25,5,1,0,0,1,0,0,12187.4,1,1,1
23,12,1,0,0,0,0,0,4843.18,1,1,1
28,8,1,0,0,1,0,0,0,1,1,1
31,11,1,0,1,1,0,0,8087.49,1,1,1
18,11,1,0,0,1,0,0,0,1,1,1
25,12,1,0,0,0,0,0,2348.97,1,1,1
30,11,1,0,1,1,0,0,590.782,1,1,1
17,10,1,0,0,1,0,0,0,1,1,1
37,9,1,0,0,1,0,0,1067.51,1,1,1
41,4,1,0,1,1,0,0,7284.99,1,1,1
42,14,1,0,1,0,0,0,13167.5,1,1,1
22,11,0,0,0,1,0,0,1048.43,1,1,1
17,8,1,0,0,1,0,0,0,1,1,1
29,8,1,0,0,1,0,0,1923.94,1,1,1
35,10,1,0,0,1,0,0,4666.24,1,1,1
27,11,1,0,0,1,0,0,549.298,1,1,1
29,4,1,0,0,1,0,0,762.915,1,1,1
28,9,1,0,0,1,0,0,10694.3,1,1,1
27,11,1,0,0,1,0,0,0,1,1,1
23,7,0,0,0,1,0,0,0,1,1,1
45,5,1,0,1,1,0,0,8546.72,1,1,1
29,13,1,0,0,0,0,0,7479.66,1,1,1
27,9,1,0,0,1,0,0,0,1,1,1
46,13,1,0,0,0,0,0,647.205,1,1,1
18,6,1,0,0,1,0,0,0,1,1,1
25,12,1,0,0,0,0,0,11965.8,1,1,1
28,15,1,0,0,0,0,0,9598.54,1,1,1
25,11,0,0,0,1,0,0,18783.4,1,1,1
22,12,1,0,0,0,0,0,18678.1,1,1,1
21,9,1,0,0,1,0,0,0,1,1,1
40,11,1,0,0,1,0,0,23005.6,1,1,1
22,11,1,0,0,1,0,0,6456.7,1,1,1
25,12,1,0,0,0,0,0,0,1,1,1
18,12,1,0,0,0,0,0,2321.11,1,1,1
38,12,0,0,0,0,0,0,4941.85,1,1,1
27,13,1,0,0,0,0,0,0,1,1,1
27,8,1,0,0,1,0,0,0,1,1,1
38,11,1,0,0,1,0,0,0,1,1,1
23,8,0,1,0,1,0,0,3881.28,1,1,1
26,11,1,0,0,1,0,0,17231,1,1,1
21,12,0,0,0,0,0,0,8048.6,1,1,1
25,8,1,0,0,1,0,0,0,1,1,1
31,11,1,0,1,1,0,0,14509.9,1,1,1
17,10,1,0,0,1,0,0,0,1,1,1
25,11,1,0,0,1,0,0,0,1,1,1
21,12,1,0,0,0,0,0,9983.78,1,1,1
44,11,1,0,0,1,0,0,0,1,1,1
25,12,0,0,0,0,0,0,5587.5,1,1,1
18,9,1,0,0,1,0,0,4482.85,1,1,1
42,12,1,0,0,0,0,0,2456.15,1,1,1
25,10,1,0,0,1,0,0,0,1,1,1
31,9,0,1,0,1,0,0,26817.6,1,1,1
24,10,1,0,0,1,0,0,0,1,1,1
26,10,1,0,0,1,0,0,9265.79,1,1,1
25,11,1,0,0,1,0,0,485.23,1,1,1
18,11,1,0,0,1,0,0,4814.63,1,1,1
19,11,1,0,0,1,0,0,7458.11,1,1,1
43,9,1,0,0,1,0,0,0,1,1,1
27,13,1,0,0,0,0,0,34099.3,1,1,1
17,9,1,0,0,1,0,0,1953.27,1,1,1
30,11,1,0,0,1,0,0,0,1,1,1
26,10,1,0,1,1,2028,0,0,0,1,1
20,9,1,0,0,1,6083.99,0,8881.67,0,1,1
17,9,0,1,0,1,445.17,74.3435,6210.67,0,0,1
20,12,1,0,0,0,989.268,165.208,0,0,0,1
18,11,1,0,0,1,858.254,214.564,929.884,0,0,1
27,12,1,0,1,0,3670.87,334.049,0,0,0,1
21,12,0,0,0,0,3670.87,334.049,12558,0,0,1
27,12,1,0,0,0,2143.41,357.95,22163.3,0,0,1
